"2kyS6SvSYSE","2017-11-20","2017-11-13","17","22","CaseyNeistat",2564903,96321,7972,22149,"False","False",0,FALSE,"WE WANT TO TALK ABOUT OUR MARRIAGE","SHANtell martin","SHANTELL'S CHANNEL - https://www.youtube.com/shantellmartin\nCANDICE - https://www.lovebilly.com\n\n'Diamond Veins (Blowsom remix)' by French 79 http://hyperurl.co/DiamondVeinsRMX\n'Moon' by Kid Francescoli http://hyperurl.co/KID_PlayMeAgain\n\nfilmed this video in 4k on this -- http://amzn.to/2sTDnRZ\nwith this lens -- http://amzn.to/2rUJOmD\nbig drone - http://tinyurl.com/h4ft3oy\nOTHER GEAR ---  http://amzn.to/2o3GLX5\nSony CAMERA http://amzn.to/2nOBmnv\nOLD CAMERA; http://amzn.to/2o2cQBT\nMAIN LENS; http://amzn.to/2od5gBJ\nBIG SONY CAMERA; http://amzn.to/2nrdJRO\nBIG Canon CAMERA; http://tinyurl.com/jn4q4vz\nBENDY TRIPOD THING; http://tinyurl.com/gw3ylz2\nYOU NEED THIS FOR THE BENDY TRIPOD; http://tinyurl.com/j8mzzua\nWIDE LENS; http://tinyurl.com/jkfcm8t\nMORE EXPENSIVE WIDE LENS; http://tinyurl.com/zrdgtou\nSMALL CAMERA; http://tinyurl.com/hrrzhor\nMICROPHONE; http://tinyurl.com/zefm4jy\nOTHER MICROPHONE; http://tinyurl.com/jxgpj86\nOLD DRONE (cheaper but still great);http://tinyurl.com/zcfmnmd\n\nfollow me; on http://instagram.com/caseyneistat\non https://www.facebook.com/cneistat\non https://twitter.com/CaseyNeistat\n\namazing intro song by https://soundcloud.com/discoteeth\n\nad disclosure.  THIS IS NOT AN AD.  not selling or promoting anything.  but samsung did produce the Shantell Video as a 'GALAXY PROJECT' which is an initiative that enables creators like Shantell and me to make projects we might otherwise not have the opportunity to make.  hope that's clear.  if not ask in the comments and i'll answer any specifics.",7,7,2,2,1,9086142
"1ZAPwfrtAFY","2017-11-20","2017-11-13","7","24","LastWeekTonight",6109402,151250,11508,19820,"False","False",0,FALSE,"The Trump Presidency: Last Week Tonight with John Oliver (HBO)","last week tonight trump presidency|last week tonight donald trump|john oliver trump|donald trump","One year after the presidential election, John Oliver discusses what we've learned so far and enlists our catheter cowboy to teach Donald Trump what he hasn't.\n\nConnect with Last Week Tonight online...\n\nSubscribe to the Last Week Tonight YouTube channel for more almost news as it almost happens: www.youtube.com/user/LastWeekTonight\n\nFind Last Week Tonight on Facebook like your mom would: http://Facebook.com/LastWeekTonight\n\nFollow us on Twitter for news about jokes and jokes about news: http://Twitter.com/LastWeekTonight\n\nVisit our official site for all that other stuff at once: http://www.hbo.com/lastweektonight",7,7,65,69,4,5937292
"5qpjK5DgCt4","2017-11-20","2017-11-12","19","23","Rudy Mancuso",5315471,187303,7278,9990,"False","False",8,TRUE,"Racist Superman | Rudy Mancuso, King Bach & Lele Pons","racist superman|rudy|mancuso|king|bach|racist|superman|love|rudy mancuso poo bear black white official music video|iphone x by pineapple|lelepons|hannahstocking|rudymancuso|inanna|anwar|sarkis|shots|shotsstudios|alesso|anitta|brazil|Getting My Driver's License | Lele Pons","WATCH MY PREVIOUS VIDEO ▶ \n\nSUBSCRIBE ► https://www.youtube.com/channel/UC5jkXpfnBhlDjqh0ir5FsIQ?sub_confirmation=1\n\nTHANKS FOR WATCHING! LIKE & SUBSCRIBE FOR MORE VIDEOS!\n-----------------------------------------------------------\nFIND ME ON: \nInstagram | http://instagram.com/rudymancuso\nTwitter | http://twitter.com/rudymancuso\nFacebook | http://facebook.com/rudymancuso\n\nCAST: \nRudy Mancuso | http://youtube.com/c/rudymancuso\nLele Pons | http://youtube.com/c/lelepons\nKing Bach | https://youtube.com/user/BachelorsPadTv\n\nVideo Effects: \nCaleb Natale | https://instagram.com/calebnatale\n\nPA:\nPaulina Gregory\n\n\nShots Studios Channels:\nAlesso | https://youtube.com/c/alesso\nAnitta | http://youtube.com/c/anitta\nAnwar Jibawi | http://youtube.com/c/anwar\nAwkward Puppets | http://youtube.com/c/awkwardpuppets\nHannah Stocking | http://youtube.com/c/hannahstocking\nInanna Sarkis | http://youtube.com/c/inanna\nLele Pons | http://youtube.com/c/lelepons\nMaejor | http://youtube.com/c/maejor\nMike Tyson | http://youtube.com/c/miketyson \nRudy Mancuso | http://youtube.com/c/rudymancuso\nShots Studios | http://youtube.com/c/shots\n\n#Rudy\n#RudyMancuso",7,8,68,426,23,4191209
"puqaWrEC7tY","2017-11-20","2017-11-13","11","24","Good Mythical Morning",913268,16729,1386,2988,"False","False",3,TRUE,"Nickelback Lyrics: Real or Fake?","rhett and link|gmm|good mythical morning|rhett and link good mythical morning|good mythical morning rhett and link|mythical morning|Season 12|nickelback lyrics|nickelback lyrics real or fake|nickelback|nickelback songs|nickelback song|rhett link nickelback|gmm nickelback|lyrics (website category)|nickelback (musical group)|rock|music|lyrics|chad kroeger|music (industry)|mythical|gmm challenge|comedy|funny|the betrayal|the betrayal act III|how you remind me","Today we find out if Link is a Nickelback amateur or a secret Nickelback devotee. GMM #1218\nDon't miss an all new Ear Biscuits: https://goo.gl/xeZNQt\nWatch Part 4: https://youtu.be/MhCdiiB8CQg | Watch Part 2: https://youtu.be/7qiOrNao9fg\nWatch today's episode from the start: http://bit.ly/GMM1218\n\nPick up all of the official GMM merch only at https://mythical.store\n\nFollow Rhett & Link: \nInstagram: https://instagram.com/rhettandlink\nFacebook: https://facebook.com/rhettandlink\nTwitter: https://twitter.com/rhettandlink\nTumblr: https://rhettandlink.tumblr.com\nSnapchat: @realrhettlink\nWebsite: https://mythical.co/\n\nCheck Out Our Other Mythical Channels:\nGood Mythical MORE: https://youtube.com/goodmythicalmore\nRhett & Link: https://youtube.com/rhettandlink\nThis Is Mythical: https://youtube.com/thisismythical\nEar Biscuits: https://applepodcasts.com/earbiscuits\n\nWant to send us something? https://mythical.co/contact\nHave you made a Wheel of Mythicality intro video? Submit it here: https://bit.ly/GMMWheelIntro\n\nIntro Animation by Digital Twigs: https://www.digitaltwigs.com\nIntro & Outro Music by Jeff Zeigler & Sarah Schimeneck https://www.jeffzeigler.com\nWheel of Mythicality theme: https://www.royaltyfreemusiclibrary.com/\nAll Supplemental Music fromOpus 1 Music: https://opus1.sourceaudio.com/\nWe use ‘The Mouse’ by Blue Microphones https://www.bluemic.com/mouse/",7,7,488,1246,28,13186408
"d380meD0W0M","2017-11-19","2017-11-12","18","24","nigahiga",2819118,153395,2416,20573,"False","False",1,TRUE,"I Dare You: GOING BALD!?","ryan|higa|higatv|nigahiga|i dare you|idy|rhpc|dares|no truth|comments|comedy|funny|stupid|fail","I know it's been a while since we did this show, but we're back with what might be the best episode yet!\nLeave your dares in the comment section! \n\nOrder my book how to write good \nhttp://higatv.com/ryan-higas-how-to-write-good-pre-order-links/\n\nJust Launched New Official Store\nhttps://www.gianthugs.com/collections/ryan\n\nHigaTV Channel\nhttp://www.youtube.com/higatv\n\nTwitter\nhttp://www.twitter.com/therealryanhiga\n\nFacebook\nhttp://www.facebook.com/higatv\n\nWebsite\nhttp://www.higatv.com\n\nInstagram\nhttp://www.instagram.com/notryanhiga\n\nSend us mail or whatever you want here!\nPO Box 232355\nLas Vegas, NV 89105",6,7,488,1007,14,20563106
"gHZ1Qz0KiKM","2017-11-20","2017-11-13","19","28","iJustine",1038365,22594,2798,3142,"False","False",2,TRUE,"2 Weeks with iPhone X","ijustine|week with iPhone X|iphone x|apple|iphone|iphone x review|iphone x unboxing","Thanks for watching! Don't forget to subscribe for more videos!\n► SUBSCRIBE FOR MORE VIDEOS: http://www.youtube.com/subscription_center?add_user=ijustine\n🎶 MUSIC I USE - https://goo.gl/Pe7GTL \n\nBE MY FRIEND:\nhttp://instagram.com/ijustine\nhttp://facebook.com/ijustine\nhttp://twitter.com/ijustine\nSnapchat: iJustine\n\n► WHAT I USE TO MAKE VIDEOS: https://www.youtube.com/watch?v=YRCngWau2GE\n\n📷 CAMERAS:\nSony rx100 V - http://amzn.to/2jesbxA\nSony A7s ii - http://amzn.to/2ebLR16\nSony a6500 - http://amzn.to/2okeG2a\nSony rx0 - http://amzn.to/2yQA7wKq",7,7,38,122,7,4652602
"39idVpFF7NQ","2017-11-18","2017-11-12","5","24","Saturday Night Live",2688797,19042,3059,2689,"False","False",4,TRUE,"Roy Moore & Jeff Sessions Cold Open - SNL","SNL|Saturday Night Live|SNL Season 43|Episode 1730|Tiffany Haddish|Roy Moore|Mikey Day|Mike Pence|Beck Bennett|Jeff Sessions|Kate McKinnon|s43|s43e5|episode 5|live|new york|comedy|sketch|funny|hilarious|late night|host|music|guest|laugh|impersonation|actor|improv|musician|comedian|actress|If Loving You Is Wrong|Oprah Winfrey|OWN|Girls Trip|The Carmichael Show|Keanu|Taylor Swift|Reputation|Look What You Made Me Do|ready for it?|cold open","Embattled Alabama Senate candidate Roy Moore (Mikey Day) meets with Vice President Mike Pence (Beck Bennett) and Attorney General Jeff Sessions (Kate McKinnon).\n\n#SNL #SNL43\n\nGet more SNL: http://www.nbc.com/saturday-night-live\nFull Episodes: http://www.nbc.com/saturday-night-liv...\n\nLike SNL: https://www.facebook.com/snl\nFollow SNL: https://twitter.com/nbcsnl\nSNL Tumblr: http://nbcsnl.tumblr.com/\nSNL Instagram: http://instagram.com/nbcsnl \nSNL Pinterest: http://www.pinterest.com/nbcsnl/",5,6,488,2216,42,5292034
"nc99ccSXST0","2017-11-19","2017-11-12","21","28","CrazyRussianHacker",1251577,28951,1146,2606,"False","False",4,TRUE,"5 Ice Cream Gadgets put to the Test","5 Ice Cream Gadgets|Ice Cream|Cream Sandwich Maker|gadgets|gadget review|review|unboxing|kitchen gadgets|Gadgets put to the Test|testing|10 Kitchen Gadgets|7 Camping Coffee Gadgets|10 Kitchen Gadgets put to the Test","Ice Cream Pint Combination Lock - http://amzn.to/2ACipdI\nMini Ice Cream Sandwich Maker - http://amzn.to/2ACiX3g\nMotorized Ice Cream Cone - http://amzn.to/2jkrYdg\nBall Ice Cream Maker - http://amzn.to/2AEbtwE\nScoop and Stack - http://amzn.to/2zEMhGo\n\nSubscribe to: \n2nd channel - https://www.youtube.com/user/origami768\ninstagram https://instagram.com/crazyrussianhacker/\nfacebook - https://www.facebook.com/CrazyRussianHacker\n\nDON'T TRY THIS AT HOME!\n\nBusiness email: crh.inquire@gmail.com\n\nFAN MAIL:  \nCRAZY RUSSIAN HACKER\nP.O. Box 49\nWaynesville, NC 28786\n\nDISCLAIMER: In this video description contains affiliate links, which means that if you click on one of the product links, I’ll receive a small commission.",6,7,113,180,13,10474796
"jr9QtXwC9vc","2017-11-15","2017-11-13","14","1","20th Century Fox",2671756,12699,505,1010,"False","False",6,TRUE,"The Greatest Showman | Official Trailer 2 [HD] | 20th Century FOX","Trailer|Hugh Jackman|Michelle Williams|Zac Efron|Zendaya|Rebecca Ferguson|pasek and paul|la la land|moulin rouge|high school musical|hugh jackman musical|zac efron musical|musical|the greatest showman|greatest showman|Michael Gracey|P.T. Barnum|Barnum and Bailey|Barnum Circus|Barnum and Bailey Circus|20th century fox|greatest showman trailer|trailer|official trailer|the greatest showman trailer|logan|Benj Pasek|Justin Paul","Inspired by the imagination of P.T. Barnum, The Greatest Showman is an original musical that celebrates the birth of show business & tells of a visionary who rose from nothing to create a spectacle that became a worldwide sensation.\n\nIn Theaters This Christmas\n\nDirected By Michael Gracey\nCast: Hugh Jackman, Michelle Williams, Zac Efron, Zendaya, Rebecca Ferguson\n\nSUBSCRIBE: http://bit.ly/FOXSubscribe\n\n\nVisit the Official Site Here: http://www.foxmovies.com/movies/the-greatest-showman\nLike The Greatest Showman on FACEBOOK: http://fox.co/GreatestShowmanFB\nFollow The Greatest Showman on TWITTER: http://fox.co/GreatestShowmanTW\nFollow The Greatest Showman on INSTAGRAM: http://fox.co/GreatestShowmanIG\n\n#GreatestShowman\n\nAbout 20th Century FOX:\nOfficial YouTube Channel for 20th Century Fox Movies. Home of Avatar, Aliens, X-Men, Die Hard, Deadpool, Ice Age, Alvin and the Chipmunks, Rio, Peanuts, Maze Runner, Planet of the Apes, Wolverine and many more.\n\nConnect with 20th Century FOX Online:\nVisit the 20th Century FOX WEBSITE: http://bit.ly/FOXMovie\nLike 20th Century FOX on FACEBOOK: http://bit.ly/FOXFacebook\nFollow 20th Century FOX on TWITTER: http://bit.ly/TwitterFOX\n\nThe Greatest Showman | Official Trailer 2 [HD] | 20th Century FOX\nhttp://www.youtube.com/user/FoxMovies",2,2,151,458,28,2453494
"TUmyygCMMGA","2017-11-15","2017-11-13","13","25","Vox",635985,20721,2417,4111,"False","False",2,TRUE,"Why the rise of the robots won’t mean the end of work","vox.com|vox|explain|shift change|future of work|automation|robots|jobs|technological unemployment|joss fong|heidi shierholz|martin ford|rise of the robots|humans|workers|employment|economics|macroeconomics|silicon valley|basic income","For now, at least, we have better things to worry about.\n\n\nSubscribe to our channel! http://goo.gl/0bsAjO\n\nSources: \nhttps://economics.mit.edu/files/11563\nhttps://www.aeaweb.org/full_issue.php?doi=10.1257/jep.29.3#page=33\nhttp://voxeu.org/article/how-computer-automation-affects-occupations\nhttps://www.opensocietyfoundations.org/sites/default/files/future-work-lit-review-20150428.pdf\nhttps://obamawhitehouse.archives.gov/sites/whitehouse.gov/files/documents/Artificial-Intelligence-Automation-Economy.PDF\nhttps://www.vox.com/2015/7/27/9038829/automation-myth\nhttps://www.amazon.com/dp/B00PWX7RPG/ref=dp-kindle-redirect\nhttps://www.amazon.com/Second-Machine-Age-Prosperity-Technologies-ebook/dp/B00D97HPQI/ref=sr_1_1\nhttps://www.amazon.com/New-Division-Labor-Computers-Creating/dp/0691124027/ref=sr_1_1?\nhttps://www.oxfordmartin.ox.ac.uk/downloads/academic/The_Future_of_Employment.pdf\n\nClips:\nhttps://www.youtube.com/watch?v=VTlV0Y5yAww\nhttps://www.youtube.com/watch?v=_luhn7TLfWU\nhttps://www.youtube.com/watch?v=rVlhMGQgDkY\nhttps://www.youtube.com/watch?v=rCoFKUJ_8Yo\nhttps://www.youtube.com/watch?v=yeyn9zzrC84\nhttps://www.youtube.com/watch?v=7Pq-S557XQU\nhttps://www.youtube.com/watch?v=WSKi8HfcxEk\n\n///\n\nRecent advancements in artificial intelligence and robotics have commentators worrying about the coming obsolescence of the human worker. Some in Silicon Valley are even calling for a basic minimum income provided by the government for everyone, under the assumption that work will become scarce. But many economists are skeptical of these claims, because the notion that the the economy offers a fixed amount of work has been debunked time and time again over the centuries and current economic data show no signs of a productivity boom. Fortunately, we don't need to divine the future of the labor market in order to prepare for it. \n\n///\n\nVox.com is a news website that helps you cut through the noise and understand what's really driving the events in the headlines. Check out http://www.vox.com to get up to speed on everything from Kurdistan to the Kim Kardashian app. \n\nCheck out our full video catalog: http://goo.gl/IZONyE\nFollow Vox on Twitter: http://goo.gl/XFrZ5H\nOr on Facebook: http://goo.gl/U2g06o",2,2,39,170,20,3808198
